paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
jl9lHkQrrI,ALIA: An LLM for Industrial Assets using Synthetic Data,Reject,Reject,3.50,3,5,3,3,,
n6GemAoKMG,EvA: Evolutionary Attacks on Graphs,Reject,Reject,5.75,5,8,5,5,,
x07rHuChwF,Euclid: Supercharging Multimodal LLMs with Synthetic High-Fidelity Visual Descriptions,Reject,Reject,5.00,3,5,6,6,,
ZjuEPZJsa3,Decoding Reading Goals from Eye Movements,Reject,Reject,5.75,6,3,6,8,,
oF6e2WwxX0,TIS-DPO: Token-level Importance Sampling for Direct Preference Optimization With Estimated Weights,Accept (Poster),Accept,7.00,5,5,10,8,,
q3EbOXb4y1,Retri3D: 3D Neural Graphics Representation Retrieval,Accept (Spotlight),Accept,7.50,8,6,8,8,,
TRWxFUzK9K,Solving Video Inverse Problems Using Image Diffusion Models,Accept (Poster),Accept,6.50,6,6,6,8,,
X4Rcxi9588,Visual Context Window Extension: A New Perspective for Long Video Understanding,Reject,Reject,5.50,6,6,5,5,,
CGhgB8Kz8i,"Innovative Thinking, Infinite Humor: Humor Research of Large Language Models through Structured Thought Leaps",Accept (Poster),Accept,5.00,5,6,3,6,,
wCNuEA5MSv,Language Model Empowered Spatio-Temporal Forecasting via Physics-Aware Reprogramming,Reject,Reject,5.50,6,5,3,8,,
92GUJzTRXs,ConDS: Context Distribution Shift for Robust In-Context Learning,Reject,Reject,4.75,5,6,3,5,,
a2gBrMu9MP,FairLoRA: Targeted Bias Mitigation without Performance Loss,Reject,Reject,5.00,3,3,8,6,,
CYa4FKjYM9,Enhancing Optimizer Stability: Momentum Adaptation of NGN Step-size,Reject,Reject,6.00,8,5,6,5,,
T1MTmAlF7x,EDM2+: Exploring Efficient Diffusion Model Architectures for Visual Generation,Reject,Reject,5.00,5,6,6,3,,
CA06Nqa7CG,Utilitarian Algorithm Configuration for Infinite Parameter Spaces,Accept (Poster),Accept,6.83,6,8,8,6,8,5
hTphfqtafO,Large Language Models are Interpretable Learners,Accept (Poster),Accept,6.33,8,6,5,,,
LqTz13JS2P,Generalized Principal-Agent Problem with a Learning Agent,Accept (Spotlight),Accept,7.25,8,8,5,8,,
pK4Z6NZ2DB,Loss in the Crowd: Hidden Breakthroughs in Language Model Training,Reject,Reject,5.20,5,5,8,5,3,
wN3KaUXA5X,Diffusion On Syntax Trees For Program Synthesis,Accept (Spotlight),Accept,7.20,8,6,6,8,8,
T2h2V7Rx7q,Scaling Laws for Multilingual Language Models,Reject,Reject,5.25,5,5,6,5,,
YbURbViE7l,GOttack: Universal Adversarial Attacks on Graph Neural Networks via Graph Orbits Learning,Accept (Poster),Accept,6.50,6,6,8,6,,
oHSXRy29tj,"Hierarchical overlapping clustering: cost function, algorithm and scalability",Reject,Reject,5.60,8,5,6,3,6,
MD4ifad9v5,Adaptive higher order reversible integrators for memory efficient deep learning,Reject,Reject,4.67,6,5,3,,,
aapUBU9U0D,Evo-Step: Evolutionary Generation and Stepwise Validation for Optimizing LLMs in OR,Reject,Reject,5.50,6,5,5,6,,
pPyJyeLriR,Scalable and Certifiable Graph Unlearning: Overcoming the Approximation Error Barrier,Accept (Spotlight),Accept,7.50,8,8,8,6,,
JU9oHs7ivN,Cyclic Contrastive Knowledge Transfer for Open-Vocabulary Object Detection,Accept (Poster),Accept,6.00,6,5,6,5,8,
UapxTvxB3N,Trajectory-LLM: A Language-based Data Generator for Trajectory Prediction in Autonomous Driving,Accept (Poster),Accept,5.75,6,6,6,5,,
owEQ0FTfVj,GlycanML: A Multi-Task and Multi-Structure Benchmark for Glycan Machine Learning,Accept (Poster),Accept,6.67,6,8,6,,,
LNp7KW33Cg,Stabilized Neural Dynamics for Behavioral Decoding via Hierarchical Domain Adaptation,Reject,Reject,5.00,5,5,5,5,,
hzVpZDrW73,Dynamic-LLaVA: Efficient Multimodal Large Language Models via Dynamic Vision-language Context Sparsification,Accept (Poster),Accept,6.00,6,6,6,6,,
GySIAKEwtZ,Geometry of Long-Tailed Representation Learning: Rebalancing Features for Skewed Distributions,Accept (Poster),Accept,6.50,6,8,6,6,,
rAoEub6Nw2,A Statistical Framework for Ranking LLM-based Chatbots,Accept (Poster),Accept,5.67,6,6,5,,,
R6q67CDBCH,Curse of Instructions: Large Language Models Cannot Follow Multiple Instructions at Once,Reject,Reject,3.50,3,5,3,3,,
uuriavczkL,Counterfactual Realizability,Accept (Spotlight),Accept,7.50,6,10,6,8,,
7liN6uHAQZ,Sketching for Convex and Nonconvex Regularized Least Squares with Sharp Guarantees,Accept (Poster),Accept,6.50,6,6,6,8,,
lTldTFWbJ8,Generation and Evaluation of Synthetic Data Containing Treatments,Reject,Reject,6.00,3,8,5,8,,
HBbbhAZuia,DockedAC: Empowering Deep Learning Models With 3D Protein-ligand Data For Activity Cliff Analysis,Reject,Reject,5.75,6,6,6,5,,
J9eKm7j6KD,Words in Motion: Extracting Interpretable Control Vectors for Motion Transformers,Accept (Poster),Accept,4.80,5,3,3,8,5,
s6nYndMwG7,Revisiting inverse Hessian vector products for calculating influence functions,Reject,Reject,5.50,6,6,5,5,,
dMj3SDNxn4,UNICORNN: Unimodal Calibrated Ordinal Regression Neural Network,Reject,Reject,5.00,5,5,5,,,
ugyqNEOjoU,ScImage: How good are multimodal large language models at scientific text-to-image generation?,Accept (Poster),Accept,5.33,8,3,5,,,
GvsCOOPxoI,Provable Learning for DEC-POMDPs: Factored Models and Memoryless Agents,Reject,Reject,6.17,6,5,8,8,5,5
oRfHv642qD,A prescriptive theory for brain-like inference,Reject,Reject,4.40,3,5,6,3,5,
ZDoN4W5s8d,Lossgate: Incomplete Information and Misaligned Incentives Hinder Regulation of Societal Risks in Machine Learning,Reject,Reject,3.00,3,3,3,,,
r3DF5sOo5B,Transformers Learn to Implement Multi-step Gradient Descent with Chain of Thought,Accept (Spotlight),Accept,7.33,8,8,6,,,
RaR3ETzyKp,Easing Training Process of Rectified Flow Models Via Lengthening Inter-Path Distance,Accept (Spotlight),Accept,7.33,6,8,8,,,
8ZA7lrzw7O,Sharper Analysis of Data Echoing and New Communication-Efficient Algorithm for Data Parallelism,Reject,Reject,4.00,3,5,3,5,,
IjiIPQcLbV,SDDBench: A Benchmark for Synthesizable Drug Design,Reject,Reject,4.00,3,5,5,3,,
T26f9z2rEe,Dynamic Mixture of Experts: An Auto-Tuning Approach for Efficient Transformer Models,Accept (Poster),Accept,7.00,6,8,6,8,,
YaeZwhXJ4k,BinaryDM: Accurate Weight Binarization for Efficient Diffusion Models,Accept (Poster),Accept,6.67,6,8,6,,,
h6ktwCPYxE,Second Order Bounds for Contextual Bandits with Function Approximation,Accept (Poster),Accept,6.00,5,8,6,5,,
IEKQlWIN4w,CAML: Collaborative Auxiliary Modality Learning for Multi-Agent Systems,Reject,Reject,5.25,6,5,5,5,,
JyQYYjtO88,Robustness of Quantum Algorithms for Nonconvex Optimization,Accept (Poster),Accept,6.67,6,6,8,,,
bEvI30Hb2W,LVM-NET: Efficient Long-Form Video Reasoning using neural sampling,Reject,Reject,3.00,3,3,3,3,,
rwqShzb9li,Linear Representations of Political Perspective Emerge in Large Language Models,Accept (Oral),Accept,7.50,6,8,10,6,,
X5rO5VyTgB,Everything is Editable: Extend Knowledge Editing to Unstructured Data in Large Language Models,Accept (Poster),Accept,5.60,6,6,5,3,8,
UIZyvnA0yi,Self-Supervised Grid Cells Without Path Integration,Reject,Reject,5.00,6,3,6,5,,
fvkElsJOsN,Eliminating Position Bias of Language Models: A Mechanistic Approach,Accept (Poster),Accept,6.60,6,8,6,8,5,
H4iVLvRusn,SelKD: Selective Knowledge Distillation via Optimal Transport Perspective,Accept (Poster),Accept,6.00,6,6,6,6,,
gzzX4ZeErx,MIRAI: Evaluating LLM Agents for International Event Forecasting,Reject,Reject,5.50,6,5,6,5,,
7TSrtK4PFU,Text-Guided Visual Prompt Tuning for Vision-Language Models,Reject,Reject,5.00,5,5,5,5,,
TwZBQKgwdW,NTK-DFL: Enhancing Decentralized Federated Learning in Heterogeneous Settings via Neural Tangent Kernel,Reject,Reject,5.25,5,5,6,5,,
