paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
ngOOlatCK6,The Minimal Search Space for Conditional Causal Bandits,Reject,Reject,5.33,6,6,4,,,
xFo13SaHQm,WithAnyone: Toward Controllable and ID Consistent Image Generation,Accept (Poster),Accept,6.50,6,6,6,8,,
W42oLSwI9p,One-Step Diffusion Solver for Non-binary Integer Linear Programming,Reject,Reject,5.00,4,4,6,6,,
ZMzha5gbnF,Toward Safer Diffusion Language Models: Discovery and Mitigation of Priming Vulnerability,Accept (Poster),Accept,7.00,6,6,8,8,,
bm3rbtEMFj,ELMUR: External Layer Memory with Update/Rewrite for Long-Horizon RL Problems,Accept (Poster),Accept,5.00,6,6,4,4,,
khHNHzRjMy,EmoSign: A Multimodal Dataset for Understanding Emotions in American Sign Language,Reject,Reject,3.00,6,2,2,2,,
oh9ChF7Pv0,EGG-SR: Embedding Symbolic Equivalence into Symbolic Regression via Equality Graph,Accept (Poster),Accept,4.67,6,6,2,,,
31CznLfRIS,VideoJudge: Bootstrapping Enables Scalable Supervision of MLLM-as-a-Judge for Video Understanding,Accept (Poster),Accept,4.50,4,4,6,4,,
qSak1Hjfdq,All-day Multi-scenes Lifelong Vision-and-Language Navigation with Tucker Adaptation,Accept (Poster),Accept,5.00,4,6,4,6,,
GRufFX1gAy,InnoGym: Benchmarking the Innovation Potential of AI Agents,Accept (Poster),Accept,4.50,4,4,6,4,,
wUzBBsrdB1,Sparse but Wrong: Incorrect L0 Leads to Incorrect Features in Sparse Autoencoders,Reject,Reject,5.00,8,4,6,2,,
wgGJE6Z1B3,Flatter Tokens are More Valuable for Speculative Draft Model Training,Accept (Poster),Accept,5.50,8,6,4,4,,
piylyBPSau,GenCoGS: Generative Completion-based 3D Gaussian Splatting for High-Fidelity Few-Shot Novel View Synthesis,Reject,Reject,4.00,2,4,4,6,,
cEXEmyW77N,"Structurally Human, Semantically Biased: Detecting LLM-Generated References with Embeddings and GNNs",Accept (Poster),Accept,5.00,4,6,6,4,,
aiM6bRd6bG,PPI Candidate Ranking: Large-Scale Evaluation of a Domain Knowledge–Guided Pipeline,Reject,Reject,4.00,4,2,6,4,,
7L7kmHHfgf,PIRN: Prototypical-based Intra-modal Reconstruction with Normality Communication for Multi-modal Anomaly Detection.,Accept (Poster),Accept,5.50,4,6,6,6,,
x6bG2Hoqdf,CALM: Co-evolution of Algorithms and Language Model for Automatic Heuristic Design,Accept (Poster),Accept,5.50,8,2,8,4,,
1EdAn5gMVv,SpatialBoost: Enhancing Visual Representation through Language-Guided Reasoning,Reject,Reject,5.00,6,8,2,4,,
eETr3lrOQB,VQ-Transplant: Efficient VQ-Module Integration for Pre-trained Visual Tokenizers,Accept (Poster),Accept,4.50,4,8,2,4,,
32mrjmaeMP,Dataless Weight Disentanglement in Task Arithmetic via Kronecker-Factored Approximate Curvature,Accept (Poster),Accept,4.50,6,6,4,2,,
GiaF5cFIpI,Adaptive stimulation & response modeling of latent neural dynamics,Reject,Reject,3.50,6,2,4,2,,
c2ozZYoZFd,A $\texttt{Min-p}$ Blueprint for More Rigorous Science in Empirical Machine Learning Research,Reject,Reject,2.67,2,4,2,,,
DZUehXNiBn,Efficient Causal Structure Learning via Modular Subgraph Integration,Withdrawn (treated as Reject),Reject,4.00,4,2,4,6,,
VgVeQpagf7,High Performance Differentially Private Fine-Tuning using Dataset Distillation,Reject,Reject,4.67,4,4,6,,,
zKQSyT7a7n,Visuo-Tactile World Models,Reject,Reject,6.00,6,8,4,6,,
iaoAKDRAJQ,A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent,Accept (Poster),Accept,6.00,8,4,6,6,,
GMP1S4R6Ke,LoRA-Mixer: Coordinate Modular LoRA Experts Through Serial Attention Routing,Accept (Poster),Accept,5.33,4,6,6,,,
PFhrOUJZ5o,LAION-Comp: Unlocking Controllable and Compositional Generation with Structural Annotations,Reject,Reject,5.00,4,4,6,6,,
Vit5M0G5Gb,Saddle-to-Saddle Dynamics Explains A Simplicity Bias Across Neural Network Architectures,Accept (Poster),Accept,6.00,8,6,4,6,6,
j3htU5i01r,Compositional meta-learning through probabilistic task inference,Reject,Reject,4.00,2,2,8,4,,
cZFgsLq8Gs,DeepScientist: Advancing Frontier-Pushing Scientific Findings Progressively,Accept (Poster),Accept,4.00,4,6,4,2,,
Pa6ak2B9jJ,Auto-RT: Automatic Jailbreak Strategy Exploration for Red-Teaming Large Language Models,Accept (Poster),Accept,5.33,6,6,4,,,
oiz0QHejVj,CLIP-Map: Structured Matrix Mapping for Parameter-Efficient CLIP Compression,Reject,Reject,4.50,4,6,4,4,,
ppXAVexrAM,ARSS: Taming Decoder-only Autoregressive Visual Generation for View Synthesis From Single View,Reject,Reject,4.00,4,4,6,2,,
Ksvv8x00eo,CaTS-Bench: Can Language Models Describe Numeric Time Series?,Withdrawn (treated as Reject),Reject,3.50,6,2,4,2,,
pNpnqsn0Si,Thoughtbubbles: an Unsupervised Method for Parallel Thinking in Latent Space,Reject,Reject,3.00,4,2,4,2,,
NFB4QGGS65,The Geometry of LLM Quantization: GPTQ as Babai's Nearest Plane Algorithm,Accept (Poster),Accept,6.50,8,8,4,6,,
OuMNJoKJBQ,Alignment-Weighted DPO:  A principled reasoning approach to improve safety alignment,Accept (Poster),Accept,4.50,4,4,6,4,,
XKLPlnfZzM,Learning to Deaggregate: Large-scale Trajectory Generation with Spatial Priors,Reject,Reject,3.50,6,4,2,2,,
vGkXf8nvt9,Forget-to-Focus: Can unlearning Improve Domain Specialization in LLMs?,Reject,Reject,4.67,4,6,4,,,
CQ0U1wZYoy,Seeing Through the PRISM: Compound & Controllable Restoration of Scientific Images,Accept (Poster),Accept,4.00,2,4,4,4,6,
41JeFWdVFa,LDP: A Lightweight Denoising Plugin Enhancing Generalization in Single-Image Super-Resolution,Reject,Reject,4.67,6,6,2,,,
mDuTDAK6KU,KoALA: KL–L0 Adversarial Detector via Label Agreement,Withdrawn (treated as Reject),Reject,4.00,2,8,2,4,,
L2rfd2Czbj,wd1:  Weighted Policy Optimization for Reasoning in Diffusion Language Models,Accept (Poster),Accept,6.67,6,6,8,,,
rI2Fa13fUL,Offline Reinforcement Learning with Generative Trajectory Policies,Reject,Reject,5.00,6,6,4,4,,
2EQPpEZtEK,DiSTAR: Diffusion over a Scalable Token Autoregressive Representation for Speech Generation,Reject,Reject,3.33,2,4,4,,,
U6ROetm5nW,Faster Kernel Density Estimation via Hashing Based Time–Space Tradeoffs,Withdrawn (treated as Reject),Reject,4.50,8,6,2,2,,
Mz98kwANpF,"Align, Don’t Divide: Revisiting the LoRA Architecture in Multi-Task Learning",Reject,Reject,4.50,4,4,4,6,,
ey7CXUBn1g,AdaSVD: Adaptive Singular Value Decomposition for Large Language Models,Withdrawn (treated as Reject),Reject,3.00,2,2,4,4,,
