paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
xVB9AivJa5,4.5,Reject,1.33,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,2.0,,,,
Iq1fNZus2W,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
khBHJz2wcV,5.5,Reject,3.00,Accept (Poster),Accept,NO,0.0000,0.0000,0.0,2.0,6.0,4.0,,,
mytIKuRsSE,5.5,Reject,7.50,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
xFo13SaHQm,7.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
1PIfB5w05x,5.5,Reject,7.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
oiz0QHejVj,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
ocmGsqQWG2,4.5,Reject,2.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
Vgm77U4ojX,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,6.0,4.0,6.0,,
32mrjmaeMP,6.5,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,2.0,,,
