paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
IqGVIU4rvM,Balancing Token Efficiency and Structural Accuracy in LLMs Image Generation by Combining VQ-VAE and Diffusion Tokenizers,Reject,Reject,2.50,3,1,3,3,,
OXIIFZqiiN,A Dual-Modal Framework Utilizing Visual Prompts for Enhanced Patch Analysis,Reject,Reject,1.50,1,1,3,1,,
LJULZNlW5d,Vanishing Privacy: Fast Gradient Leakage Threat to Federated Learning,Reject,Reject,3.00,3,1,3,5,,
xXTkbTBmqq,OLMoE: Open Mixture-of-Experts Language Models,Accept (Oral),Accept,8.67,10,8,8,,,
dVrYcscgLu,Latent-Predictive Empowerment: Measuring Empowerment without a Simulator,Reject,Reject,3.75,3,3,6,3,,
Aly68Y5Es0,Learning-Guided Rolling Horizon Optimization for Long-Horizon Flexible Job-Shop Scheduling,Accept (Poster),Accept,6.75,8,8,5,6,,
P49gSPmrvN,Time-dependent Development of Scientific Discourse: A Novel Approach Using UMAP and Word Embeddings,Reject,Reject,1.00,1,1,1,,,
Lfy9q7Icp9,DiSK: Differentially Private Optimizer with Simplified Kalman Filter for Noise Reduction,Accept (Poster),Accept,7.00,8,6,6,8,,
LbgIZpSUCe,Nonlinear multiregion neural dynamics with parametric impulse response communication channels,Accept (Spotlight),Accept,7.33,6,8,8,,,
QXwtkVI8Yr,Swift-FedGNN: Federated Graph Learning with Low Communication and Sample Complexities,Reject,Reject,4.75,3,6,5,5,,
BPgK5XW1Nb,Spread Preference Annotation: Direct Preference Judgment for Efficient LLM Alignment,Accept (Oral),Accept,8.67,8,8,10,,,
ih3BJmIZbC,Representational Similarity via Interpretable Visual Concepts,Accept (Poster),Accept,6.80,6,8,6,8,6,
9mBodivRIo,LocoVR: Multiuser Indoor Locomotion Dataset in Virtual Reality,Accept (Poster),Accept,5.80,6,6,8,6,3,
PigfMZMHq1,PointNet with KAN versus PointNet with MLP for 3D Classification and Segmentation of Point Sets,Reject,Reject,3.67,5,3,3,,,
o3V7OuPxu4,"StarCraft II Arena: Evaluating LLMs in Strategic Planning, Real-Time Decision Making, and Adaptability",Reject,Reject,3.00,3,3,3,3,,
jCNRcHrfLo,Hierarchical Prompts with Context-aware Calibration for Open-Vocabulary Object Detection,Reject,Reject,5.00,5,5,5,5,,
6Mdvq0bPyG,EfficientQAT: Efficient Quantization-Aware Training for Large Language Models,Reject,Reject,3.00,3,3,3,,,
V1N6MmDY27,Towards Fully Autonomous Driving with Automated Commonsense Reasoning,Reject,Reject,2.50,1,3,5,1,,
WFlLqUmb9v,Efficient Time Series Forecasting via Hyper-Complex Models and Frequency Aggregation,Reject,Reject,2.50,1,3,1,5,,
EO8xpnW7aX,SymmetricDiffusers: Learning Discrete Diffusion on Finite Symmetric Groups,Accept (Oral),Accept,8.00,8,8,8,8,8,
B5Dj4EhZPP,A biologically-plausible alternative to backpropagation using pseudoinverse feedback,Reject,Reject,4.33,3,5,5,,,
Pxik3T6Mn9,Uncertainty-aware Human Mobility Modeling and Anomaly Detection,Reject,Reject,4.50,6,3,3,6,,
e1Z4NCQ146,ProTrain: Efficient LLM Training via Automatic Memory Management,Reject,Reject,5.25,5,6,5,5,,
Ha6RTeWMd0,SAM 2: Segment Anything in Images and Videos,Accept (Oral),Accept,9.00,10,8,8,10,,
WRKVA3TgSv,Can Large Language Models Effectively Modify Graphs?,Reject,Reject,3.00,3,3,3,3,,
9NfHbWKqMF,SplatFormer: Point Transformer for Robust 3D Gaussian Splatting,Accept (Spotlight),Accept,7.50,8,8,8,6,,
ZHTYtXijEn,Directed Structural Adaptation to Overcome Statistical Conflicts and Enable Continual Learning,Reject,Reject,2.33,1,3,3,,,
RdG7LVGnQi,One QuantLLM for ALL: Fine-tuning Quantized LLMs Once for Efficient Deployments,Reject,Reject,4.50,5,6,6,1,,
a8wjeqTZ9C,Concept Bottleneck Models under Label Noise,Reject,Reject,3.75,3,3,6,3,,
FCBbh0HCrF,Event-Driven Online Vertical Federated Learning,Accept (Poster),Accept,7.00,8,6,8,6,,
LyJi5ugyJx,"Simplifying, Stabilizing and Scaling Continuous-time Consistency Models",Accept (Oral),Accept,9.20,8,10,8,10,10,
FNiqaC382D,Provable Causal State Representation under Asynchronous Diffusion Model for POMDPs,Reject,Reject,5.50,6,3,5,8,,
CU8CNDw6Vv,Reassessing the Validity of Spurious Correlations Benchmarks,Reject,Reject,5.25,3,5,5,8,,
o1efpbvR6v,Application of Metric Transformation in One-Step Retrosynthesis,Reject,Reject,2.33,5,1,1,,,
aP3OBwf8dk,Need a Small Specialized Language Model? Plan Early!,Reject,Reject,6.00,8,5,5,,,
nibeaHUEJx,Shifting the Paradigm: A Diffeomorphism Between Time Series Data Manifolds for Achieving Shift-Invariancy in Deep Learning,Accept (Poster),Accept,7.00,6,8,6,8,,
gc8QAQfXv6,Unlocking the Power of Function Vectors for Characterizing and Mitigating Catastrophic Forgetting in Continual Instruction Tuning,Accept (Oral),Accept,9.00,10,10,8,8,,
wwVGZRnAYG,BlueSuffix: Reinforced Blue Teaming for Vision-Language Models Against Jailbreak Attacks,Accept (Poster),Accept,5.50,6,6,5,5,,
mb2ryuZ3wz,Adaptive Length Image Tokenization via Recurrent Allocation,Accept (Poster),Accept,5.75,6,6,5,6,,
s3IBHTTDYl,Language Models Need Inductive Biases to Count Inductively,Accept (Poster),Accept,6.75,8,5,6,8,,
U3PBITXNG6,InverseBench: Benchmarking Plug-and-Play Diffusion Priors for Inverse Problems in Physical Sciences,Accept (Spotlight),Accept,7.50,8,8,6,8,,
X8dzvdkQwO,Fine-tuning can Help Detect Pretraining Data from Large Language Models,Accept (Poster),Accept,6.25,6,8,6,5,,
n2NidsYDop,Transformers Provably Solve Parity Efficiently with Chain of Thought,Accept (Oral),Accept,8.67,8,8,10,,,
WxLwXyBJLw,Flow Matching for One-Step Sampling,Reject,Reject,3.25,3,1,3,6,,
pL8ws91RW2,Hierarchical Self-Supervised Graph Contrastive Learning: Capturing Multi-Scale Structural Information,Reject,Reject,2.60,3,3,1,3,3,
ZSdubdbOoi,Self-Improving Robust Preference Optimization,Accept (Poster),Accept,6.00,6,6,6,6,,
